loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,1,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,title,zip_code,addr_state,dti,open_acc,revol_bal,revol_util,total_acc,application_type,tot_cur_bal,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
6000,6000, 36 months,11.44%,197.69,B,B4, administrator,5 years,RENT,25000,Not Verified,Issued,debt_consolidation,Debt consolidation,840xx,UT,24.2,11,1818,11.50%,16,INDIVIDUAL,10041,8,913,0,33985,10041,15800,18185
20000,20000, 36 months,10.49%,649.96,B,B2, Administrators assistant ,10+ years,RENT,95000,Not Verified,Issued,other,Other,070xx,NJ,31.22,17,12182,37.40%,27,INDIVIDUAL,53238,4,3327,0,112739,53238,28600,78672
17000,17000, 36 months,7.49%,528.73,A,A4, artist,10+ years,MORTGAGE,120000,Not Verified,Issued,debt_consolidation,Debt consolidation,840xx,UT,8.41,9,15406,31.60%,34,INDIVIDUAL,290743,3,32305,0,374071,48682,47800,38667
35000,35000, 60 months,25.49%,1037.38,E,E4, assistant,10+ years,MORTGAGE,114000,Source Verified,Issued,home_improvement,Home improvement,224xx,VA,14.04,17,35694,74.80%,31,INDIVIDUAL,394086,2,24630,0,424707,81780,32700,52309
6000,6000, 36 months,8.24%,188.69,B,B1, Assistant Director,1 year,MORTGAGE,110000,Not Verified,Issued,credit_card,Credit card refinancing,950xx,CA,7.15,7,5076,35.30%,17,INDIVIDUAL,29997,4,5999,0,45116,29997,4400,30716
10150,10150, 36 months,7.24%,314.52,A,A3, Assistant golf professional ,8 years,MORTGAGE,50000,Not Verified,Issued,debt_consolidation,Debt consolidation,773xx,TX,29.6,9,21845,56%,21,INDIVIDUAL,239260,2,29908,0,289751,45347,33400,54374
4700,4700, 36 months,15.99%,165.22,C,C5, ASSITENT MANAGER,10+ years,MORTGAGE,100046,Source Verified,Issued,debt_consolidation,Debt consolidation,847xx,UT,12.37,6,3919,95.60%,14,INDIVIDUAL,335994,1,55999,0,353570,49114,3500,58668
1500,1500, 36 months,5.32%,45.18,A,A1, Associate business management analyst ,3 years,MORTGAGE,67000,Not Verified,Issued,car,Car financing,593xx,MT,5.95,5,8673,43.80%,16,INDIVIDUAL,142464,1,28493,0,163700,10658,14000,5200
14000,14000, 36 months,8.24%,440.27,B,B1, Asst. Program Coordinator,6 years,MORTGAGE,65000,Not Verified,Issued,home_improvement,Home improvement,329xx,FL,10.8,5,1344,20.70%,8,INDIVIDUAL,169788,1,33958,0,197948,20875,1000,29807
15000,15000, 60 months,13.49%,345.08,C,C2, Bakery deli manager ,10+ years,RENT,70000,Not Verified,Issued,credit_card,Credit card refinancing,531xx,WI,23.3,13,17612,59.50%,43,INDIVIDUAL,231762,10,17828,0,262663,54162,19100,52569
14000,14000, 60 months,15.99%,340.38,C,C5, Battalion Operations Sergeant ,10+ years,RENT,43000,Source Verified,Issued,debt_consolidation,Debt consolidation,367xx,AL,21.8,3,18537,99.10%,8,INDIVIDUAL,26572,0,8857,0,38058,26572,18700,19358
18000,18000, 36 months,5.32%,542.07,A,A1, Branch Manager,10+ years,MORTGAGE,205000,Source Verified,Issued,debt_consolidation,Debt consolidation,088xx,NJ,22.72,23,36543,39%,27,INDIVIDUAL,343968,4,15635,0,490893,135895,68900,155593
7200,7200, 36 months,11.39%,237.06,B,B3, Bus operation ,3 years,RENT,60000,Not Verified,Issued,debt_consolidation,Debt consolidation,902xx,CA,11.63,8,6424,79.30%,20,INDIVIDUAL,35785,3,4473,0,37811,35785,6100,29711
26000,26000, 60 months,15.99%,632.14,C,C5, Car painter ,10+ years,RENT,52000,Source Verified,Issued,debt_consolidation,Debt consolidation,984xx,WA,20.49,12,30607,50.50%,25,INDIVIDUAL,30607,2,3061,0,60600,30607,42500,0
5000,5000, 36 months,8.24%,157.24,B,B1, cashier,4 years,RENT,49000,Not Verified,Issued,credit_card,Credit card refinancing,187xx,PA,16.09,9,5548,45.90%,31,INDIVIDUAL,14082,3,1760,0,33890,14082,11700,21790
13000,13000, 36 months,6.99%,401.35,A,A2, Chair person,10+ years,MORTGAGE,120000,Source Verified,Issued,debt_consolidation,Debt consolidation,600xx,IL,8.3,11,15591,52.50%,21,INDIVIDUAL,67371,3,6737,0,239301,18165,13900,12000
16000,16000, 60 months,12.74%,361.93,C,C1, Cna,10+ years,MORTGAGE,130000,Not Verified,Issued,debt_consolidation,Debt consolidation,577xx,SD,8.28,16,8595,25.80%,48,INDIVIDUAL,44263,8,2766,0,79751,44263,8000,46451
11875,11875, 36 months,11.44%,391.26,B,B4, CNA,10+ years,MORTGAGE,55000,Not Verified,Issued,home_improvement,Home improvement,480xx,MI,34.5,14,17823,39.40%,28,INDIVIDUAL,241115,4,17223,0,319205,61637,24300,56205
14000,14000, 60 months,12.74%,316.69,C,C1, concrete 3,9 years,RENT,49960,Not Verified,Issued,debt_consolidation,Debt consolidation,980xx,WA,9.3,8,3453,22%,21,INDIVIDUAL,10773,2,1347,0,25700,10773,14700,10000
10000,10000, 36 months,7.49%,311.02,A,A4, conductor,3 years,RENT,50000,Not Verified,Issued,debt_consolidation,Debt consolidation,196xx,PA,26.43,13,8333,19.20%,19,INDIVIDUAL,35187,5,2707,0,83940,35187,24600,40640
20000,20000, 36 months,5.32%,602.3,A,A1, Construction worker ,3 years,RENT,120000,Not Verified,Issued,credit_card,Credit card refinancing,926xx,CA,26.54,18,2646,3%,60,INDIVIDUAL,675385,5,37521,0,688272,675385,87400,600872
10000,10000, 36 months,11.49%,329.72,B,B5, Cook,10+ years,OWN,145000,Not Verified,Issued,debt_consolidation,Debt consolidation,087xx,NJ,13.31,13,7936,31.90%,30,INDIVIDUAL,324984,8,24999,0,411827,68390,18700,82927
15400,15400, 60 months,11.39%,337.84,B,B3, Cook ,10+ years,MORTGAGE,95000,Not Verified,Issued,debt_consolidation,Debt consolidation,068xx,CT,11.52,20,12675,35.10%,35,INDIVIDUAL,490036,5,24502,0,579945,158331,25800,143395
35000,35000, 36 months,19.99%,1300.55,D,D4, Custodian ,10+ years,MORTGAGE,80000,Source Verified,Issued,debt_consolidation,Debt consolidation,850xx,AZ,10.65,7,13483,65.50%,22,INDIVIDUAL,281434,2,46906,0,303643,32751,20200,23043
2000,2000, 36 months,16.99%,71.3,D,D1, Director Operations,6 years,MORTGAGE,62000,Not Verified,Issued,credit_card,Credit card refinancing,983xx,WA,16.43,10,6504,44.90%,20,INDIVIDUAL,321694,11,32169,0,337688,39824,11500,38491
13000,13000, 36 months,11.44%,428.32,B,B4, Distribution operations ,10+ years,RENT,54500,Not Verified,Issued,debt_consolidation,Debt consolidation,606xx,IL,10.81,11,12514,33.50%,23,INDIVIDUAL,16632,1,2079,0,44400,16632,23500,7000
10000,10000, 36 months,7.99%,313.32,A,A5, EDI Project Manager Team Lead,1 year,RENT,69000,Not Verified,Issued,debt_consolidation,Debt consolidation,433xx,OH,27.69,9,9625,52.90%,14,INDIVIDUAL,61585,5,6843,0,89165,61585,14200,70965
14400,14400, 36 months,12.74%,483.4,C,C1, Electrician ,n/a,MORTGAGE,61000,Verified,Issued,credit_card,Credit card refinancing,864xx,AZ,14.24,10,15377,62%,15,INDIVIDUAL,137118,5,13712,0,152644,24848,17000,11119
25000,25000, 36 months,15.99%,878.81,C,C5, ENGINEER,10+ years,RENT,95000,Verified,Issued,debt_consolidation,Debt consolidation,112xx,NY,22.47,18,15067,50.70%,30,INDIVIDUAL,38809,12,2156,0,67853,38809,19700,38153
10000,10000, 36 months,12.74%,335.69,C,C1, English teacher,10+ years,OWN,40000,Not Verified,Issued,debt_consolidation,Debt consolidation,324xx,FL,8.85,7,9227,55.90%,15,INDIVIDUAL,9227,3,1318,0,16500,9227,8200,0
4600,4600, 36 months,11.39%,151.45,B,B3, Executive VP ,4 years,RENT,44470,Not Verified,Issued,credit_card,Credit card refinancing,066xx,CT,13.43,7,5400,19.10%,11,INDIVIDUAL,9625,5,1375,0,40000,9625,14500,11700
5000,5000, 36 months,7.99%,156.66,A,A5, Facility ,10+ years,MORTGAGE,52000,Not Verified,Issued,debt_consolidation,Debt consolidation,486xx,MI,12.28,11,5978,71.20%,26,INDIVIDUAL,83012,2,7547,0,116993,24731,6500,32197
17000,17000, 60 months,13.99%,395.48,C,C3, Factory worker ,3 years,MORTGAGE,51188,Source Verified,Issued,debt_consolidation,Debt consolidation,080xx,NJ,20.3,15,14750,43.80%,44,INDIVIDUAL,184465,1,13176,0,300065,37100,22300,38430
10000,10000, 36 months,7.99%,313.32,A,A5, Field claims representative ,10+ years,OWN,60000,Not Verified,Issued,debt_consolidation,Debt consolidation,190xx,PA,26.06,11,47254,71.60%,22,INDIVIDUAL,50472,2,4588,0,76000,50472,64500,10000
20000,20000, 36 months,12.74%,671.38,C,C1, Financial Cordinator ,< 1 year,RENT,135000,Not Verified,Issued,debt_consolidation,Debt consolidation,945xx,CA,12.55,21,22515,49.10%,30,INDIVIDUAL,55911,10,2662,0,102864,55911,39600,56964
9000,9000, 36 months,10.49%,292.48,B,B2, First Sergeant,3 years,RENT,172000,Not Verified,Issued,debt_consolidation,Debt consolidation,101xx,NY,21.71,15,16560,64.20%,30,INDIVIDUAL,94190,4,6728,0,129752,94190,19100,64278
3025,3025, 36 months,6.99%,93.39,A,A2, floor supervisor for servers,10+ years,MORTGAGE,83000,Not Verified,Issued,vacation,Vacation,301xx,GA,20.76,13,45915,67.30%,24,INDIVIDUAL,169986,3,13076,0,221415,62150,45300,16961
16000,16000, 36 months,18.99%,586.42,D,D3, GENERAL MANAGER,10+ years,RENT,41000,Source Verified,Issued,debt_consolidation,Debt consolidation,773xx,TX,31.73,9,19706,70.40%,13,INDIVIDUAL,34377,1,3820,0,53682,34377,18000,25682
4800,4800, 36 months,6.99%,148.19,A,A2, Head Chef ,1 year,RENT,160000,Not Verified,Issued,credit_card,Credit card refinancing,941xx,CA,12.66,13,16930,13.40%,18,INDIVIDUAL,37985,8,2922,0,160900,37985,118600,35000
14000,14000, 36 months,15.99%,492.13,C,C5, Heating technician ,10+ years,MORTGAGE,82000,Source Verified,Issued,credit_card,Credit card refinancing,672xx,KS,31.07,18,69578,63.20%,31,INDIVIDUAL,202617,3,11257,0,286204,104008,81400,60167
14000,14000, 60 months,12.74%,316.69,C,C1, independant Property Casualty Adjustet,4 years,OWN,40000,Not Verified,Issued,credit_card,Credit card refinancing,926xx,CA,17.48,10,25787,46.20%,23,INDIVIDUAL,25787,7,2579,0,55800,25787,52500,0
7100,7100, 36 months,11.39%,233.76,B,B3, Investment Advisor Representative,n/a,RENT,32160,Not Verified,Issued,debt_consolidation,Debt consolidation,329xx,FL,22.44,9,13224,41.70%,15,INDIVIDUAL,20805,3,2312,0,45619,20805,12400,7100
6800,6800, 36 months,13.49%,230.73,C,C2, IT systems analyst ,< 1 year,RENT,55000,Not Verified,Issued,credit_card,Credit card refinancing,908xx,CA,20.73,9,5496,23.80%,15,INDIVIDUAL,35225,7,3914,0,55700,35225,3600,32600
15000,15000, 36 months,5.32%,451.73,A,A1, Journeyman lineman ,10+ years,MORTGAGE,182000,Not Verified,Issued,debt_consolidation,Debt consolidation,751xx,TX,9.35,13,34623,33.70%,32,INDIVIDUAL,233521,4,17963,0,325464,50766,74600,4508
1000,1000, 36 months,11.39%,32.93,B,B3, Lead verification administrator ,n/a,RENT,40000,Not Verified,Issued,vacation,Vacation,913xx,CA,26.7,8,7509,56%,21,INDIVIDUAL,10446,2,1306,0,38273,10446,3400,24873
26000,26000, 60 months,15.99%,632.14,C,C5, Lieutenant ,5 years,OWN,70000,Not Verified,Issued,debt_consolidation,Debt consolidation,234xx,VA,10.32,12,30016,40.70%,33,INDIVIDUAL,30016,9,2501,0,73700,30016,16000,0
25775,25775, 60 months,15.99%,626.67,C,C5, Lieutenant ,10+ years,MORTGAGE,51560,Verified,Issued,debt_consolidation,Debt consolidation,321xx,FL,25.9,7,10060,65.80%,12,INDIVIDUAL,224759,4,32108,0,247752,72456,10500,66905
6650,6650, 36 months,11.49%,219.26,B,B5, Loaig officer,3 years,OWN,50000,Source Verified,Issued,other,Other,305xx,GA,28.37,12,18038,55.30%,24,INDIVIDUAL,30023,8,2502,0,47925,30023,17600,15325
25200,25200, 60 months,15.99%,612.69,C,C5, Logistics supervisor ,5 years,RENT,96000,Verified,Issued,debt_consolidation,Debt consolidation,194xx,PA,28.35,14,27543,54.10%,28,INDIVIDUAL,102495,4,7321,0,146448,102495,39900,95548
11000,11000, 36 months,6.99%,339.6,A,A2, machine operator,2 years,MORTGAGE,74000,Source Verified,Issued,debt_consolidation,Debt consolidation,567xx,MN,19.29,15,11133,30.50%,22,INDIVIDUAL,112146,3,7476,0,165205,67544,23200,78239
29500,29500, 36 months,12.74%,990.29,C,C1, Maintenance ,3 years,OWN,59000,Source Verified,Issued,debt_consolidation,Debt consolidation,717xx,AR,18.51,6,38920,53%,20,INDIVIDUAL,38920,2,6487,0,73500,38920,68800,0
20000,20000, 36 months,12.74%,671.38,C,C1, Maintenance ,5 years,RENT,63000,Not Verified,Issued,home_improvement,Home improvement,785xx,TX,19.37,16,10343,62.30%,31,INDIVIDUAL,46338,9,2896,0,75671,46338,10100,59071
5000,5000, 36 months,11.44%,164.74,B,B4, Maintenance ,4 years,MORTGAGE,30000,Not Verified,Issued,debt_consolidation,Debt consolidation,347xx,FL,15.28,11,2824,15.60%,11,INDIVIDUAL,135430,5,12312,0,151177,24383,4300,21535
20000,20000, 60 months,22.74%,560.83,E,E1, Maintenance of way ,8 years,MORTGAGE,82000,Not Verified,Issued,debt_consolidation,Debt consolidation,432xx,OH,16.24,8,22560,72.80%,17,INDIVIDUAL,175413,3,21927,0,209433,50652,17500,21958
20000,20000, 60 months,15.99%,486.26,C,C5, manager,10+ years,MORTGAGE,50000,Source Verified,Issued,debt_consolidation,Debt consolidation,300xx,GA,20.26,5,13697,83.20%,17,INDIVIDUAL,153771,2,30754,0,258361,24901,5000,34261
11200,11200, 36 months,11.39%,368.75,B,B3, Manager,6 years,RENT,28000,Not Verified,Issued,other,Other,114xx,NY,22.2,14,5033,14.60%,18,INDIVIDUAL,7771,2,598,0,43450,7771,24000,8950
24000,24000, 36 months,11.49%,791.32,B,B5, Manager,10+ years,MORTGAGE,50000,Source Verified,Issued,debt_consolidation,Debt consolidation,921xx,CA,26.62,21,29518,47.30%,48,INDIVIDUAL,156535,8,7827,0,221172,32703,41000,18894
12000,12000, 60 months,13.49%,276.06,C,C2, Material Associate Analyst,9 years,MORTGAGE,47000,Not Verified,Issued,credit_card,Credit card refinancing,463xx,IN,15.45,6,7010,79.70%,7,INDIVIDUAL,80642,1,13440,0,125670,19782,6000,31870
10000,10000, 36 months,5.32%,301.15,A,A1, Mechanical technician /head Carpender,10+ years,RENT,100000,Not Verified,Issued,credit_card,Credit card refinancing,065xx,CT,12.71,14,14225,20%,32,INDIVIDUAL,43787,3,3128,0,145588,43787,42100,74388
12000,12000, 36 months,14.99%,415.93,C,C4, Medical lab technician ,3 years,MORTGAGE,35000,Source Verified,Issued,debt_consolidation,Debt consolidation,358xx,AL,30.86,4,24332,98.10%,9,INDIVIDUAL,24332,1,6083,0,24800,24332,21400,0
20000,20000, 36 months,11.44%,658.95,B,B4, Nurse Practitioner/Midwife ,n/a,MORTGAGE,51000,Not Verified,Issued,debt_consolidation,Debt consolidation,441xx,OH,21.55,16,27876,61.70%,33,INDIVIDUAL,115525,2,7702,0,162300,29296,14300,7500
12000,12000, 60 months,15.99%,291.76,C,C5, on call custodian,3 years,MORTGAGE,80000,Not Verified,Issued,credit_card,Credit card refinancing,473xx,IN,16.76,20,21835,52.50%,33,INDIVIDUAL,53193,8,2660,0,116045,40357,15800,28147
30625,30625, 36 months,18.99%,1122.44,D,D3, Optician /  supervisor ,3 years,MORTGAGE,61250,Source Verified,Issued,debt_consolidation,Debt consolidation,460xx,IN,24.43,4,8204,63.10%,9,INDIVIDUAL,41130,1,10283,0,57741,41130,13000,44741
7000,7000, 36 months,10.49%,227.49,B,B2, owner,n/a,OWN,33700,Verified,Issued,debt_consolidation,Debt consolidation,206xx,MD,25.57,11,8784,49.90%,21,INDIVIDUAL,32054,6,2914,0,46352,32054,3700,28752
9000,9000, 36 months,8.24%,283.03,B,B1, Owner operator  ,3 years,RENT,45000,Not Verified,Issued,credit_card,Credit card refinancing,891xx,NV,18.09,11,3077,22.30%,23,INDIVIDUAL,50070,3,4552,0,66334,50070,11300,52534
6000,6000, 36 months,24.74%,237.74,E,E3, Owner/Lineman,1 year,MORTGAGE,75000,Source Verified,Issued,other,Other,286xx,NC,26.21,13,427,2%,46,INDIVIDUAL,68504,9,6228,0,101540,68504,8400,80340
20000,20000, 36 months,8.24%,628.95,B,B1, Owner/operator ,9 years,OWN,111650,Verified,Issued,credit_card,Credit card refinancing,774xx,TX,9.52,10,32580,57%,15,INDIVIDUAL,32580,1,3258,0,60300,32580,52600,0
35000,35000, 60 months,13.49%,805.17,C,C2, Partner ,1 year,MORTGAGE,400000,Verified,Issued,debt_consolidation,Debt consolidation,600xx,IL,11.17,12,191881,54.30%,29,INDIVIDUAL,958753,8,79896,0,1192314,305230,64200,128114
9600,9600, 36 months,5.32%,289.11,A,A1, PCA,5 years,MORTGAGE,55000,Not Verified,Issued,debt_consolidation,Debt consolidation,160xx,PA,13.95,5,6716,19.20%,22,INDIVIDUAL,301595,3,60319,0,341179,41746,35000,42979
25200,25200, 36 months,18.99%,923.61,D,D3, Police communications supervisor ,2 years,MORTGAGE,95983,Verified,Issued,credit_card,Credit card refinancing,761xx,TX,29.39,27,28291,43.30%,79,INDIVIDUAL,529409,10,20362,0,602319,265294,38100,250791
14000,14000, 36 months,5.32%,421.61,A,A1, Police officer ,10+ years,MORTGAGE,89000,Not Verified,Issued,home_improvement,Home improvement,922xx,CA,12.07,12,12898,16.20%,24,INDIVIDUAL,128144,2,10679,0,230336,32722,63000,45561
17000,17000, 60 months,15.99%,413.32,C,C5, Production Manager ,2 years,RENT,91600,Source Verified,Issued,debt_consolidation,Debt consolidation,282xx,NC,9.16,8,6995,36.10%,16,INDIVIDUAL,25487,9,3186,0,40166,25487,7200,20766
15500,15500, 36 months,8.24%,487.44,B,B1, Property preservation representative ,10+ years,RENT,79000,Not Verified,Issued,credit_card,Credit card refinancing,917xx,CA,24.32,32,15317,19.10%,44,INDIVIDUAL,48213,13,1555,0,128073,48213,70200,46577
11200,11200, 60 months,13.49%,257.66,C,C2, Provider,10+ years,MORTGAGE,65000,Source Verified,Issued,debt_consolidation,Debt consolidation,480xx,MI,23.58,9,13736,65.40%,21,INDIVIDUAL,28404,4,3156,0,43169,28404,10600,22169
16000,16000, 36 months,13.49%,542.89,C,C2, Receiver ,10+ years,RENT,50000,Not Verified,Issued,debt_consolidation,Debt consolidation,335xx,FL,28.68,20,15004,67.60%,26,INDIVIDUAL,58285,3,3068,0,78649,58285,16600,56449
24000,24000, 60 months,12.74%,542.89,C,C1, Registered nurse ,10+ years,MORTGAGE,68000,Not Verified,Issued,major_purchase,Major purchase,623xx,IL,21.53,14,16102,18.10%,37,INDIVIDUAL,110639,7,7903,0,207682,62270,54000,61056
8000,8000, 36 months,11.49%,263.78,B,B5, Sales Rep,4 years,RENT,65000,Source Verified,Issued,debt_consolidation,Debt consolidation,349xx,FL,13.61,14,9393,65.20%,18,INDIVIDUAL,27571,3,2298,0,40052,27571,8000,25652
12000,12000, 60 months,14.99%,285.42,C,C4, Security  officer ,10+ years,MORTGAGE,55000,Source Verified,Issued,debt_consolidation,Debt consolidation,379xx,TN,20.34,11,14783,34.20%,27,INDIVIDUAL,39894,2,3989,0,81897,39894,41700,38697
6000,6000, 36 months,13.99%,205.04,C,C3, Security engagement officer,1 year,RENT,50000,Source Verified,Issued,debt_consolidation,Debt consolidation,993xx,WA,13.42,8,6273,42.40%,10,INDIVIDUAL,17733,5,2217,0,36737,17733,6800,21937
10725,10725, 36 months,15.99%,377.01,C,C5, Security officer ,2 years,RENT,41600,Source Verified,Issued,debt_consolidation,Debt consolidation,967xx,HI,11.59,12,10129,47.30%,19,INDIVIDUAL,13773,8,1148,0,29400,13773,21100,8000
11500,11500, 36 months,7.49%,357.67,A,A4, Senior Deputy probation officer ,10+ years,MORTGAGE,80000,Source Verified,Issued,debt_consolidation,Debt consolidation,630xx,MO,8.43,5,4441,49.30%,31,INDIVIDUAL,167432,2,33486,0,190162,20732,8000,26962
11625,11625, 36 months,23.99%,456.03,E,E2," Service tech,Forman Electrician ",10+ years,MORTGAGE,35600,Source Verified,Issued,debt_consolidation,Debt consolidation,689xx,NE,32.64,17,14126,41.90%,37,INDIVIDUAL,86421,5,5401,0,111736,37300,24700,27536
4000,4000, 36 months,23.99%,156.92,E,E2, Show producer ,< 1 year,MORTGAGE,33000,Source Verified,Issued,vacation,Vacation,372xx,TN,17.45,7,1388,11.20%,19,INDIVIDUAL,141638,9,20234,0,156998,18473,2300,18917
8000,8000, 36 months,7.49%,248.82,A,A4, Showroom manager ,4 years,RENT,52000,Not Verified,Issued,debt_consolidation,Debt consolidation,605xx,IL,24.44,24,8943,17.80%,32,INDIVIDUAL,23352,7,973,0,80473,23352,38100,30173
10000,10000, 36 months,7.99%,313.32,A,A5, Sr. Developer,n/a,RENT,74400,Source Verified,Issued,other,Other,921xx,CA,6.95,8,9147,43.40%,14,INDIVIDUAL,9147,2,1143,0,21100,9147,13100,0
1000,1000, 36 months,29.99%,42.45,F,F3, Supervisor ,10+ years,MORTGAGE,85000,Not Verified,Issued,vacation,Vacation,777xx,TX,24.93,12,6211,52.20%,15,INDIVIDUAL,75473,11,6289,0,88398,75473,10900,76498
1300,1300, 36 months,13.99%,44.43,C,C3, Supervisor ,6 years,MORTGAGE,150000,Source Verified,Issued,home_improvement,Home improvement,290xx,SC,23.85,11,49525,82.70%,24,INDIVIDUAL,345163,4,31378,0,395062,86694,45900,73912
14400,14400, 36 months,11.44%,474.45,B,B4, Supervisor ,3 years,MORTGAGE,100000,Source Verified,Issued,credit_card,Credit card refinancing,945xx,CA,7.22,7,21800,75.70%,9,INDIVIDUAL,332503,5,47500,0,342900,22816,26800,2100
14400,14400, 60 months,12.74%,325.74,C,C1, Support manager ,7 years,MORTGAGE,180000,Not Verified,Issued,home_improvement,Home improvement,785xx,TX,13.03,19,15291,50%,35,INDIVIDUAL,176996,6,10412,0,251802,49914,16900,81310
10000,10000, 36 months,11.39%,329.24,B,B3, Surgical tech,5 years,RENT,87000,Source Verified,Issued,other,Other,910xx,CA,14.63,11,36825,83.10%,31,INDIVIDUAL,53640,2,4876,0,64327,53640,39300,20027
8000,8000, 36 months,13.99%,273.39,C,C3, Teacher,9 years,MORTGAGE,36000,Not Verified,Issued,debt_consolidation,Debt consolidation,320xx,FL,8.17,8,1362,16.60%,23,INDIVIDUAL,160234,2,22891,0,175400,5332,2200,4800
7000,7000, 36 months,10.49%,227.49,B,B2, Teacher,4 years,MORTGAGE,55200,Source Verified,Issued,major_purchase,Major purchase,976xx,OR,8.21,11,9553,62.80%,16,INDIVIDUAL,79383,4,7217,0,115200,9553,1300,0
30075,30075, 60 months,22.74%,843.35,E,E1, technician,9 years,RENT,86750,Not Verified,Issued,debt_consolidation,Debt consolidation,752xx,TX,34.99,21,35798,60.40%,23,INDIVIDUAL,106400,0,5067,0,174833,106400,59300,115533
